time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1997-10-03T11:28:40.540Z,27.813,54.731,33,5.3,mwc,,,,1.09,us,usp00088eq,2022-04-29T17:03:04.042Z,"60 km ENE of Ger?sh, Iran",earthquake,,,,,reviewed,us,hrv
1997-10-02T01:06:35.380Z,39.026,44.241,33,4.5,mb,,,,1.17,us,usp00088ck,2014-11-07T01:03:35.427Z,"46 km NNE of Özalp, Turkey",earthquake,,,,5,reviewed,us,us
1997-09-24T22:27:34.480Z,35.693,56.918,33,4.5,mb,,,,1.02,us,usp00087z8,2014-11-07T01:03:31.031Z,"89 km SW of Sabzevar, Iran",earthquake,,,,36,reviewed,us,us
1997-09-23T03:06:14.730Z,35.738,56.972,33,4.5,mb,,,,1.01,us,usp00087wa,2014-11-07T01:03:30.723Z,"82 km SW of Sabzevar, Iran",earthquake,,,,29,reviewed,us,us
1997-09-18T20:24:46.290Z,28.991,47.438,10,4.6,mb,,,,1.22,us,usp00087pw,2020-04-16T18:30:07.193Z,"43 km SSW of Al Jahr?’, Kuwait",earthquake,,,,3,reviewed,us,us
1997-09-18T14:52:53.830Z,27.106,53.909,33,4.8,mb,,,,0.93,us,usp00087pk,2014-11-07T01:03:29.851Z,"61 km N of K?sh, Iran",earthquake,,,,48,reviewed,us,us
1997-09-18T03:50:04.650Z,37.266,56.655,33,4.6,mb,,,,1.07,us,usp00087p0,2014-11-07T01:03:29.673Z,"64 km WSW of Bojn?rd, Iran",earthquake,,,,1,reviewed,us,us
1997-09-16T12:15:32.070Z,36.923,54.101,33,4.8,mb,,,,1.12,us,usp00087kx,2014-11-07T01:03:29.201Z,"31 km WNW of Gorg?n, Iran",earthquake,,,,20,reviewed,us,us
1997-08-29T15:55:59.850Z,27.192,53.902,33,4.6,mb,,,,1.03,us,usp00086v4,2014-11-07T01:03:21.382Z,"57 km SSW of Ger?sh, Iran",earthquake,,,,5,reviewed,us,us
1997-08-29T14:43:57.440Z,27.562,53.888,33,4.8,mb,,,,1.37,us,usp00086uy,2014-11-07T01:03:21.363Z,"27 km WSW of Ger?sh, Iran",earthquake,,,,13,reviewed,us,us
